"filename", "language", "JSON", "XML", "Log", "C#", "YAML", "Markdown", "CSS", "PowerShell", "Properties", "comment", "blank", "total"
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\SmfConstants.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 4, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\SmpteData.cs", "C#", 0, 0, 0, 161, 0, 0, 0, 0, 0, 1, 38, 200
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\TrackChunkUtilities.cs", "C#", 0, 0, 0, 43, 0, 0, 0, 0, 0, 41, 14, 98
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\CompressionPolicy.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 53, 10, 86
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\WriterSettings.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 12, 9, 44
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\WritingSettings\WritingSettings.cs", "C#", 0, 0, 0, 55, 0, 0, 0, 0, 0, 68, 23, 146
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\IClockDrivenObject.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 3, 18
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\MidiClock.cs", "C#", 0, 0, 0, 141, 0, 0, 0, 0, 0, 60, 58, 259
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\MidiClockSettings.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 8, 37
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\HighPrecisionTickGenerator.cs", "C#", 0, 0, 0, 89, 0, 0, 0, 0, 0, 28, 33, 150
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\MidiTimerWinApi.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 15, 48
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\RegularPrecisionTickGenerator.cs", "C#", 0, 0, 0, 56, 0, 0, 0, 0, 0, 21, 22, 99
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Clock\TickGenerator\TickGenerator.cs", "C#", 0, 0, 0, 44, 0, 0, 0, 0, 0, 25, 20, 89
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnector.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 0, 0, 73, 20, 147
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnectorEventCallback.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 6, 2, 13
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\DevicesConnector\DevicesConnectorUtilities.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 20, 5, 44
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\ErrorOccurredEventArgs.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 7, 29
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\IInputDevice.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 16, 5, 32
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InputDevice.cs", "C#", 0, 0, 0, 280, 0, 0, 0, 0, 0, 93, 91, 464
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InvalidShortEventReceivedEventArgs.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 0, 12, 9, 41
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\InvalidSysExEventReceivedEventArgs.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 7, 29
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiEventReceivedEventArgs.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 12, 8, 39
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiInWinApi.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 17, 62
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\InputDevice\MidiTimeCodeReceivedEventArgs.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 18, 11, 54
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Manufacturer.cs", "C#", 0, 0, 0, 78, 0, 0, 0, 0, 0, 219, 72, 369
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\MidiDevice.cs", "C#", 0, 0, 0, 84, 0, 0, 0, 0, 0, 74, 40, 198
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\MidiDeviceException.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 0, 19, 6, 45
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\IOutputDevice.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 20, 4, 35
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\MidiEventSentEventArgs.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 12, 8, 39
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\MidiOutWinApi.cs", "C#", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 18, 75
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\OutputDevice.cs", "C#", 0, 0, 0, 280, 0, 0, 0, 0, 0, 104, 91, 475
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\OutputDeviceType.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 24, 7, 44
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\OutputDevice\Volume.cs", "C#", 0, 0, 0, 60, 0, 0, 0, 0, 0, 56, 23, 139
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\EventCallback.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 10, 2, 18
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\NoteCallback.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 11, 2, 18
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Callbacks\NotePlaybackData.cs", "C#", 0, 0, 0, 42, 0, 0, 0, 0, 0, 27, 19, 88
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTime.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 10, 8, 36
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTimeChangedEventArgs.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 7, 30
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\CurrentTimeWatcher\PlaybackCurrentTimeWatcher.cs", "C#", 0, 0, 0, 168, 0, 0, 0, 0, 0, 57, 59, 284
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\MidiEventPlayedEventArgs.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 8, 36
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\NotesEventArgs.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 7, 32
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Playback.cs", "C#", 0, 0, 0, 630, 0, 0, 0, 0, 0, 402, 192, 1224
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackDataTracker.cs", "C#", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 75, 334
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEvent.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 32
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventCallback.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 7, 2, 15
